unique_id,ds,y
Christmas,2020-01-31,104865
Christmas,2020-02-29,69670
Christmas,2020-03-31,85562
Christmas,2020-04-30,80392
Christmas,2020-05-31,71591
Christmas,2020-06-30,61249
Christmas,2020-07-31,58437
Christmas,2020-08-31,66652
Christmas,2020-09-30,87093
Christmas,2020-10-31,116029
Christmas,2020-11-30,247237
Christmas,2020-12-31,1069570
Christmas,2021-01-31,154356
Christmas,2021-02-28,72022
Christmas,2021-03-31,77425
Christmas,2021-04-30,75638
Christmas,2021-05-31,70363
Christmas,2021-06-30,70215
Christmas,2021-07-31,74375
Christmas,2021-08-31,82175
Christmas,2021-09-30,109098
Christmas,2021-10-31,125232
Christmas,2021-11-30,255875
Christmas,2021-12-31,1020952
Christmas,2022-01-31,166601
Christmas,2022-02-28,82679
Christmas,2022-03-31,80936
Christmas,2022-04-30,79125
Christmas,2022-05-31,74170
Christmas,2022-06-30,71758
Christmas,2022-07-31,85610
Christmas,2022-08-31,123809
Christmas,2022-09-30,153549
Christmas,2022-10-31,210127
Christmas,2022-11-30,461411
Christmas,2022-12-31,1066828
Christmas,2023-01-31,193033
Christmas,2023-02-28,124163
Christmas,2023-03-31,137985
Christmas,2023-04-30,95231
Christmas,2023-05-31,101253
Christmas,2023-06-30,116880
Christmas,2023-07-31,130256
Christmas,2023-08-31,145931
Christmas,2023-09-30,189492
Christmas,2023-10-31,233383
Christmas,2023-11-30,477950
Christmas,2023-12-31,1982593
Christmas,2024-01-31,326472
Christmas,2024-02-29,125063
Christmas,2024-03-31,137226
Christmas,2024-04-30,110280
Christmas,2024-05-31,81148
Christmas,2024-06-30,57996
Christmas,2024-07-31,65386
Christmas,2024-08-31,72815
Christmas,2024-09-30,88680
Christmas,2024-10-31,125564
Christmas,2024-11-30,240709
Christmas,2024-12-31,860519
Christmas,2025-01-31,159691
Christmas,2025-02-28,74000
Christmas,2025-03-31,100221
Christmas,2025-04-30,197468
Christmas,2025-05-31,138727
Christmas,2025-06-30,134165
Christmas,2025-07-31,123781
Christmas,2025-08-31,159366
